ID,Make,Model,Make_Year,Color,Body_Type,kilometers_run,No_of_Owners,Seating_Capacity,Fuel_Type,Fuel_Tank_Capacity(L),CC_Displacement,Transmission,Transmission_Type,Power(BHP),Torque(Nm),kilometer_at_liter,Price
0,Volkswagen,Ameo,2017,silver,sedan,44611.0,1,5,diesel,45,1498,7-Speed,Automatic,109.0,250.0,21.66,7300.0
1,Hyundai,i20Active,2016,red,crossover,20305.0,1,5,petrol,45,1197,5-Speed,Manual,82.0,115.0,17.19,7577.777777777777
2,Honda,WR-V,2019,white,suv,29540.0,2,5,petrol,40,1199,5-Speed,Manual,88.5,110.0,16.5,8811.111111111111
3,Renault,Kwid,2017,bronze,hatchback,35680.0,1,5,petrol,28,999,5-Speed,Manual,67.0,91.0,21.7,4600.0
4,Hyundai,Grandi10,2017,orange,hatchback,25126.0,1,5,petrol,43,1197,5-Speed,Manual,81.86,113.75,18.9,5722.222222222223
5,Hyundai,Elitei20,2016,red,hatchback,52261.0,1,5,petrol,45,1197,5-Speed,Manual,81.83,114.7,18.6,6711.111111111111
6,Honda,Brio,2012,grey,hatchback,28108.0,2,5,petrol,35,1198,5-Speed,Manual,86.8,109.0,19.4,3511.1111111111113
7,Tata,Harrier,2019,grey,suv,92603.0,1,5,diesel,50,1956,6-Speed,Automatic,138.0,350.0,17.0,15766.666666666666
8,Hyundai,Grandi10Nios,2021,blue,hatchback,16304.0,1,5,petrol,37,1197,5-Speed,Manual,81.86,113.75,20.07,7888.888888888889
9,Renault,Kwid,2019,bronze,hatchback,26350.0,2,5,petrol,28,999,5-Speed,Manual,67.0,91.0,22.0,4355.555555555556
10,Renault,Triber,2020,yellow,muv,35400.0,1,7,petrol,40,999,5-Speed,Manual,71.0,96.0,20.0,6811.111111111111
11,Chevrolet,Cruze,2013,white,sedan,71450.0,1,5,diesel,60,1991,6-Speed,Automatic,164.0,380.0,17.0,6644.444444444444
12,Hyundai,Venue,2019,grey,suv,32395.0,1,5,petrol,45,998,7-Speed,Automatic,118.35,171.6,18.15,10766.666666666666
13,Tata,Safari,2021,grey,suv,15059.0,1,7,diesel,50,1956,6-Speed,Automatic,167.67,350.0,17.0,23333.333333333332
14,MarutiSuzuki,Swift,2019,white,hatchback,31994.0,1,5,petrol,37,1197,5-Speed,Manual,81.8,113.0,21.21,7400.0
15,Toyota,Yaris,2020,white,sedan,13768.0,1,5,petrol,42,1496,CVT,Automatic,105.94,140.0,17.18,11544.444444444445
16,Tata,Punch,2022,beige,suv,3174.0,1,5,petrol,37,1199,5-Speed,Manual,84.0,113.0,18.9,9533.333333333334
17,Renault,Duster,2017,orange,suv,70137.0,1,5,diesel,50,1461,6-Speed,Automatic,108.45,245.0,19.6,9555.555555555555
18,Toyota,Yaris,2018,white,sedan,35913.0,2,5,petrol,42,1496,6-Speed,Automatic,105.94,140.0,17.18,7555.555555555556
19,Hyundai,Elitei20,2018,blue,hatchback,19056.0,1,5,petrol,45,1197,5-Speed,Manual,82.85,113.7,18.6,6944.444444444444
