ID,Make,Model,Make_Year,Color,Body_Type,kilometers_run,No_of_Owners,Seating_Capacity,Fuel_Type,Fuel_Tank_Capacity(L),CC_Displacement,Transmission,Transmission_Type,Power(BHP),Torque(Nm),kilometer_at_liter,Price
0,15,83,2017,12,1,44611.0,1,5,1,45,1498,7,2,109.0,250.0,21.66,7300.0
1,4,29,2016,11,5,20305.0,1,5,2,45,1197,5,1,82.0,115.0,17.19,7577.777777777777
2,3,13,2019,13,2,29540.0,2,5,2,40,1199,5,1,88.5,110.0,16.5,8811.111111111111
3,11,63,2017,4,4,35680.0,1,5,2,28,999,5,1,67.0,91.0,21.7,4600.0
4,4,18,2017,9,4,25126.0,1,5,2,43,1197,5,1,81.86,113.75,18.9,5722.222222222223
5,4,15,2016,11,4,52261.0,1,5,2,45,1197,5,1,81.83,114.7,18.6,6711.111111111111
6,3,9,2012,7,4,28108.0,2,5,2,35,1198,5,1,86.8,109.0,19.4,3511.1111111111118
7,13,70,2019,7,2,92603.0,1,5,1,50,1956,6,2,138.0,350.0,17.0,15766.666666666666
8,4,19,2021,3,4,16304.0,1,5,2,37,1197,5,1,81.86,113.75,20.07,7888.888888888889
9,11,63,2019,4,4,26350.0,2,5,2,28,999,5,1,67.0,91.0,22.0,4355.555555555556
10,11,66,2020,14,3,35400.0,1,7,2,40,999,5,1,71.0,96.0,20.0,6811.111111111111
11,0,1,2013,13,1,71450.0,1,5,1,60,1991,6,2,164.0,380.0,17.0,6644.444444444444
12,4,23,2019,7,2,32395.0,1,5,2,45,998,7,2,118.35,171.6,18.15,10766.666666666666
13,13,75,2021,7,2,15059.0,1,7,1,50,1956,6,2,167.67,350.0,17.0,23333.33333333333
14,9,53,2019,13,4,31994.0,1,5,2,37,1197,5,1,81.8,113.0,21.21,7400.0
15,14,82,2020,13,1,13768.0,1,5,2,42,1496,1,2,105.94,140.0,17.18,11544.444444444443
16,13,74,2022,1,2,3174.0,1,5,2,37,1199,5,1,84.0,113.0,18.9,9533.333333333334
